pm_code,part_no,default_qty,default_unit,sort_order
P1,50.88.0004.LO,1,ST,10
P1,50.94.0054.LO,10,PC,20
P2,50.88.0004.LO,1,ST,10
P2,50.88.0005.LO,1,ST,20
P3,50.88.0004.LO,1,ST,10
P3,50.88.0005.LO,1,ST,20
P3,50.94.0054.LO,16,PC,30
P4,50.88.0004.LO,1,ST,10
P4,50.88.0005.LO,1,ST,20
P4,50.88.0006.LO,1,ST,30
P4,50.94.0054.LO,16,PC,40
