"列號","場站代碼","對象代碼","車號","車廂模組","坑位代碼","坑位名稱","坑位類型","上層坑位代碼","設備序號","現場設備名稱","裝用狀態","盤點人","盤點日期","照片檔名或連結","備註"
"1","D","TS","101","M1","50-D-TS101-M1-BCU","煞車控制單元(BCU)總成","總成","50-D-TS101-M1","","","","","","",""
"2","D","TS","101","M1","50-D-TS101-M1-BCU-AIO","BCU_(AIO)類比輸入/輸出板","子件","50-D-TS101-M1-BCU","","","","","","",""
"3","D","TS","101","M1","50-D-TS101-M1-BCU-CIB","BCU_(CIB)控制器網路界面板","子件","50-D-TS101-M1-BCU","","","","","","",""
"4","D","TS","101","M1","50-D-TS101-M1-BCU-CPU","BCU_(CPU)中央處理器板","子件","50-D-TS101-M1-BCU","","","","","","",""
"5","D","TS","101","M1","50-D-TS101-M1-BCU-DIO","BCU_(DIO)數位輸入/輸出板","子件","50-D-TS101-M1-BCU","","","","","","",""
"6","D","TS","101","M1","50-D-TS101-M1-BCU-PSB","BCU_(PSB)電源板","子件","50-D-TS101-M1-BCU","","","","","","",""
"7","D","TS","101","M1","50-D-TS101-M1-BCU-VCB","BCU_(VCB)閥控制板","子件","50-D-TS101-M1-BCU","","","","","","",""
"8","D","TS","101","M1","50-D-TS101-M1-BOGIE","轉向架","總成","50-D-TS101-M1","","","","","","",""
"9","D","TS","101","M1","50-D-TS101-M1-BOGIE-AHU","輔助液壓單元總成(AHU)","子件","50-D-TS101-M1-BOGIE","","","","","","",""
"10","D","TS","101","M1","50-D-TS101-M1-BOGIE-BCAL-AX1L","動力式煞車卡鉗總成-L1","子件","50-D-TS101-M1-BOGIE","","","","","","",""
"11","D","TS","101","M1","50-D-TS101-M1-BOGIE-BCAL-AX1R","動力式煞車卡鉗總成-R1","子件","50-D-TS101-M1-BOGIE","","","","","","",""
"12","D","TS","101","M1","50-D-TS101-M1-BOGIE-BCAL-AX2L","動力式煞車卡鉗總成-L2","子件","50-D-TS101-M1-BOGIE","","","","","","",""
"13","D","TS","101","M1","50-D-TS101-M1-BOGIE-BCAL-AX2R","動力式煞車卡鉗總成-R2","子件","50-D-TS101-M1-BOGIE","","","","","","",""
"14","D","TS","101","M1","50-D-TS101-M1-BOGIE-EHU","煞車液壓單元總成(EHU)","子件","50-D-TS101-M1-BOGIE","","","","","","",""
"15","D","TS","101","M1","50-D-TS101-M1-BOGIE-GB-AX1L","齒輪箱總成-L1","子件","50-D-TS101-M1-BOGIE","","","","","","",""
"16","D","TS","101","M1","50-D-TS101-M1-BOGIE-GB-AX1R","齒輪箱總成-R1","子件","50-D-TS101-M1-BOGIE","","","","","","",""
"17","D","TS","101","M1","50-D-TS101-M1-BOGIE-GB-AX2L","齒輪箱總成-L2","子件","50-D-TS101-M1-BOGIE","","","","","","",""
"18","D","TS","101","M1","50-D-TS101-M1-BOGIE-GB-AX2R","齒輪箱總成-R2","子件","50-D-TS101-M1-BOGIE","","","","","","",""
"19","D","TS","101","M1","50-D-TS101-M1-BOGIE-TM-AX1L","牽引馬達總成-L1(TM1)","子件","50-D-TS101-M1-BOGIE","","","","","","",""
"20","D","TS","101","M1","50-D-TS101-M1-BOGIE-TM-AX1R","牽引馬達總成-R1(TM3)","子件","50-D-TS101-M1-BOGIE","","","","","","",""
"21","D","TS","101","M1","50-D-TS101-M1-BOGIE-TM-AX2L","牽引馬達總成-L2(TM2)","子件","50-D-TS101-M1-BOGIE","","","","","","",""
"22","D","TS","101","M1","50-D-TS101-M1-BOGIE-TM-AX2R","牽引馬達總成-R2(TM4)","子件","50-D-TS101-M1-BOGIE","","","","","","",""
"23","D","TS","101","M1","50-D-TS101-M1-BOGIE-WHL-AX1L","動力式車輪-L1","子件","50-D-TS101-M1-BOGIE","","","","","","",""
"24","D","TS","101","M1","50-D-TS101-M1-BOGIE-WHL-AX1R","動力式車輪-R1","子件","50-D-TS101-M1-BOGIE","","","","","","",""
"25","D","TS","101","M1","50-D-TS101-M1-BOGIE-WHL-AX2L","動力式車輪-L2","子件","50-D-TS101-M1-BOGIE","","","","","","",""
"26","D","TS","101","M1","50-D-TS101-M1-BOGIE-WHL-AX2R","動力式車輪-R2","子件","50-D-TS101-M1-BOGIE","","","","","","",""
"27","D","TS","101","M1","50-D-TS101-M1-BPI","BPI界面轉換器","獨立件","50-D-TS101-M1","","","","","","",""
"28","D","TS","101","M1","50-D-TS101-M1-BRES","煞車電阻器(含箱體)","獨立件","50-D-TS101-M1","","","","","","",""
"29","D","TS","101","M1","50-D-TS101-M1-CABAC","駕駛室空調總成","總成","50-D-TS101-M1","","","","","","",""
"30","D","TS","101","M1","50-D-TS101-M1-CABAC-COMP","空調渦捲式壓縮機","子件","50-D-TS101-M1-CABAC","","","","","","",""
"31","D","TS","101","M1","50-D-TS101-M1-CABAC-CTRL","空調控制器KN700","子件","50-D-TS101-M1-CABAC","","","","","","",""
"32","D","TS","101","M1","50-D-TS101-M1-CABAC-INV","空調變頻器","子件","50-D-TS101-M1-CABAC","","","","","","",""
"33","D","TS","101","M1","50-D-TS101-M1-CC400","牽引換流器及輔助電源異常(CC400)","總成","50-D-TS101-M1","","","","","","",""
"34","D","TS","101","M1","50-D-TS101-M1-CC400-ACU","ACU卡板","子件","50-D-TS101-M1-CC400","","","","","","",""
"35","D","TS","101","M1","50-D-TS101-M1-CC400-AUX","輔助變流器模組(AUX)","子件","50-D-TS101-M1-CC400","","","","","","",""
"36","D","TS","101","M1","50-D-TS101-M1-CC400-AUX/Reactor","輔電電抗器","子件","50-D-TS101-M1-CC400","","","","","","",""
"37","D","TS","101","M1","50-D-TS101-M1-CC400-ESS/Reactor","儲能裝置電抗器","子件","50-D-TS101-M1-CC400","","","","","","",""
"38","D","TS","101","M1","50-D-TS101-M1-CC400-TCU","TCU卡板","子件","50-D-TS101-M1-CC400","","","","","","",""
"39","D","TS","101","M1","50-D-TS101-M1-CC400-TRAC/Reactor","牽引電抗器","子件","50-D-TS101-M1-CC400","","","","","","",""
"40","D","TS","101","M1","50-D-TS101-M1-CC400-XC","高頻整流器模組(XC)","子件","50-D-TS101-M1-CC400","","","","","","",""
"41","D","TS","101","M1","50-D-TS101-M1-DCU-L","車門控制單元(DCU)-L","獨立件","50-D-TS101-M1","","","","","","",""
"42","D","TS","101","M1","50-D-TS101-M1-DCU-R","車門控制單元(DCU)-R","獨立件","50-D-TS101-M1","","","","","","",""
"43","D","TS","101","M1","50-D-TS101-M1-DMOT-L","驅動馬達-L","獨立件","50-D-TS101-M1","","","","","","",""
"44","D","TS","101","M1","50-D-TS101-M1-DMOT-R","驅動馬達-R","獨立件","50-D-TS101-M1","","","","","","",""
"45","D","TS","101","M1","50-D-TS101-M1-ETH/CAB","網管型乙太網路交換器(駕駛室)","獨立件","50-D-TS101-M1","","","","","","",""
"46","D","TS","101","M1","50-D-TS101-M1-ETH/SW","網管型乙太網路交換器(模組1/2/4/5)","獨立件","50-D-TS101-M1","","","","","","",""
"47","D","TS","101","M1","50-D-TS101-M1-FLUB/COMP","輪緣潤滑壓縮機","獨立件","50-D-TS101-M1","","","","","","",""
"48","D","TS","101","M1","50-D-TS101-M1-GPS","GPS機","子件","50-D-TS101-M1","","","","","","",""
"49","D","TS","101","M1","50-D-TS101-M1-HMI","速度監控HMI","獨立件","50-D-TS101-M1","","","","","","",""
"50","D","TS","101","M1","50-D-TS101-M1-MC","主控制器總成","總成","50-D-TS101-M1","","","","","","",""
"51","D","TS","101","M1","50-D-TS101-M1-OBCU","車載控制單元(OBCU)","獨立件","50-D-TS101-M1","","","","","","",""
"52","D","TS","101","M1","50-D-TS101-M1-PEI-L","旅客緊急對講機(PEI)-L","獨立件","50-D-TS101-M1","","","","","","",""
"53","D","TS","101","M1","50-D-TS101-M1-PEI-R","旅客緊急對講機(PEI)-R","獨立件","50-D-TS101-M1","","","","","","",""
"54","D","TS","101","M1","50-D-TS101-M1-SD/COMP","撒砂裝置空壓機","獨立件","50-D-TS101-M1","","","","","","",""
"55","D","TS","101","M1","50-D-TS101-M1-TETRA","TETRA收發機(Tetra Transceiver)","獨立件","50-D-TS101-M1","","","","","","",""
"56","D","TS","101","M1","50-D-TS101-M1-VCU","車輛控制單元(VCU)","獨立件","50-D-TS101-M1","","","","","","",""
"57","D","TS","101","M1","50-D-TS101-M1-VID","影像連結單元(Video link)","獨立件","50-D-TS101-M1","","","","","","",""
"58","D","TS","101","M1","50-D-TS101-M1-WIFI","Wi-Fi模組","獨立件","50-D-TS101-M1","","","","","","",""
"59","D","TS","101","M2","50-D-TS101-M2-DCU-L","車門控制單元(DCU)-L","獨立件","50-D-TS101-M2","","","","","","",""
"60","D","TS","101","M2","50-D-TS101-M2-DCU-R","車門控制單元(DCU)-R","獨立件","50-D-TS101-M2","","","","","","",""
"61","D","TS","101","M2","50-D-TS101-M2-DMOT-L","驅動馬達-L","獨立件","50-D-TS101-M2","","","","","","",""
"62","D","TS","101","M2","50-D-TS101-M2-DMOT-R","驅動馬達-R","獨立件","50-D-TS101-M2","","","","","","",""
"63","D","TS","101","M2","50-D-TS101-M2-ESS","儲能電池(ESS)總成","總成","50-D-TS101-M2","","","","","","",""
"64","D","TS","101","M2","50-D-TS101-M2-ESS-COOL","冷卻器總成","子件","50-D-TS101-M2-ESS","","","","","","",""
"65","D","TS","101","M2","50-D-TS101-M2-ETH-SW","網管型乙太網路交換器(模組1/2/4/5)","獨立件","50-D-TS101-M2","","","","","","",""
"66","D","TS","101","M2","50-D-TS101-M2-PA-IP","IP擴音器","獨立件","50-D-TS101-M2","","","","","","",""
"67","D","TS","101","M2","50-D-TS101-M2-PAC-L2","客室空調總成-L2","總成","50-D-TS101-M2","","","","","","",""
"68","D","TS","101","M2","50-D-TS101-M2-PAC-L2-COMP","空調渦捲式壓縮機-L2","子件","50-D-TS101-M2-PAC-L2","","","","","","",""
"69","D","TS","101","M2","50-D-TS101-M2-PAC-L2-CTRL","空調控制器KN700-L2","子件","50-D-TS101-M2-PAC-L2","","","","","","",""
"70","D","TS","101","M2","50-D-TS101-M2-PAC-R1","客室空調總成-R1","總成","50-D-TS101-M2","","","","","","",""
"71","D","TS","101","M2","50-D-TS101-M2-PAC-R1-COMP","空調渦捲式壓縮機-R1","子件","50-D-TS101-M2-PAC-R1","","","","","","",""
"72","D","TS","101","M2","50-D-TS101-M2-PAC-R1-CTRL","空調控制器KN700-R1","子件","50-D-TS101-M2-PAC-R1","","","","","","",""
"73","D","TS","101","M2","50-D-TS101-M2-PEI-L","旅客緊急對講機(PEI)-L","獨立件","50-D-TS101-M2","","","","","","",""
"74","D","TS","101","M2","50-D-TS101-M2-PEI-R","旅客緊急對講機(PEI)-R","獨立件","50-D-TS101-M2","","","","","","",""
"75","D","TS","101","M3","50-D-TS101-M3-AHU","輔助液壓單元總成(AHU)","總成","50-D-TS101-M3","","","","","","",""
"76","D","TS","101","M3","50-D-TS101-M3-ATP-SW","ATP乙太網交換機","獨立件","50-D-TS101-M3","","","","","","",""
"77","D","TS","101","M3","50-D-TS101-M3-BALISE-L","應答器天線-L","獨立件","50-D-TS101-M3","","","","","","",""
"78","D","TS","101","M3","50-D-TS101-M3-BALISE-R","應答器天線-R","獨立件","50-D-TS101-M3","","","","","","",""
"79","D","TS","101","M3","50-D-TS101-M3-BCU","煞車控制單元(BCU)總成","總成","50-D-TS101-M3","","","","","","",""
"80","D","TS","101","M3","50-D-TS101-M3-BCU-AIO","BCU_(AIO)類比輸入/輸出板","子件","50-D-TS101-M3-BCU","","","","","","",""
"81","D","TS","101","M3","50-D-TS101-M3-BCU-CIB","BCU_(CIB)控制器網路界面板","子件","50-D-TS101-M3-BCU","","","","","","",""
"82","D","TS","101","M3","50-D-TS101-M3-BCU-CPU","BCU_(CPU)中央處理器板","子件","50-D-TS101-M3-BCU","","","","","","",""
"83","D","TS","101","M3","50-D-TS101-M3-BCU-DIO","BCU_(DIO)數位輸入/輸出板","子件","50-D-TS101-M3-BCU","","","","","","",""
"84","D","TS","101","M3","50-D-TS101-M3-BCU-PSB","BCU_(PSB)電源板","子件","50-D-TS101-M3-BCU","","","","","","",""
"85","D","TS","101","M3","50-D-TS101-M3-BCU-VCB","BCU_(VCB)閥控制板","子件","50-D-TS101-M3-BCU","","","","","","",""
"86","D","TS","101","M3","50-D-TS101-M3-BOGIE","轉向架","總成","50-D-TS101-M3","","","","","","",""
"87","D","TS","101","M3","50-D-TS101-M3-BOGIE-BCAL-AX3L","非動力式煞車卡鉗總成-L3","子件","50-D-TS101-M3-BOGIE","","","","","","",""
"88","D","TS","101","M3","50-D-TS101-M3-BOGIE-BCAL-AX3R","非動力式煞車卡鉗總成-R3","子件","50-D-TS101-M3-BOGIE","","","","","","",""
"89","D","TS","101","M3","50-D-TS101-M3-BOGIE-BCAL-AX4L","非動力式煞車卡鉗總成-L4","子件","50-D-TS101-M3-BOGIE","","","","","","",""
"90","D","TS","101","M3","50-D-TS101-M3-BOGIE-BCAL-AX4R","非動力式煞車卡鉗總成-R4","子件","50-D-TS101-M3-BOGIE","","","","","","",""
"91","D","TS","101","M3","50-D-TS101-M3-BOGIE-WHL-AX3L","非動力式車輪-L3","子件","50-D-TS101-M3-BOGIE","","","","","","",""
"92","D","TS","101","M3","50-D-TS101-M3-BOGIE-WHL-AX3R","非動力式車輪-R3","子件","50-D-TS101-M3-BOGIE","","","","","","",""
"93","D","TS","101","M3","50-D-TS101-M3-BOGIE-WHL-AX4L","非動力式車輪-L4","子件","50-D-TS101-M3-BOGIE","","","","","","",""
"94","D","TS","101","M3","50-D-TS101-M3-BOGIE-WHL-AX4R","非動力式車輪-R4","子件","50-D-TS101-M3-BOGIE","","","","","","",""
"95","D","TS","101","M3","50-D-TS101-M3-CCU","中央控制單元(CCU)","總成","50-D-TS101-M3","","","","","","",""
"96","D","TS","101","M3","50-D-TS101-M3-CCU-1030","1030卡板(CCU內)","子件","50-D-TS101-M3-CCU","","","","","","",""
"97","D","TS","101","M3","50-D-TS101-M3-CCU-1092","1092卡板(CCU內)","子件","50-D-TS101-M3-CCU","","","","","","",""
"98","D","TS","101","M3","50-D-TS101-M3-CCU-A212","A212卡板(CCU內)","子件","50-D-TS101-M3-CCU","","","","","","",""
"99","D","TS","101","M3","50-D-TS101-M3-CCU-DIO","DIO-16A/15E卡板","子件","50-D-TS101-M3-CCU","","","","","","",""
"100","D","TS","101","M3","50-D-TS101-M3-CCU-HIST","HIST V4卡版","子件","50-D-TS101-M3-CCU","","","","","","",""
"101","D","TS","101","M3","50-D-TS101-M3-CCU-REL","REL V3卡板","子件","50-D-TS101-M3-CCU","","","","","","",""
"102","D","TS","101","M3","50-D-TS101-M3-EHU","煞車液壓單元總成(EHU)","總成","50-D-TS101-M3","","","","","","",""
"103","D","TS","101","M3","50-D-TS101-M3-ETH-SW","網管型乙太網路交換器(模組3)","獨立件","50-D-TS101-M3","","","","","","",""
"104","D","TS","101","M3","50-D-TS101-M3-GMU","速度轉換器 (GMU)","獨立件","50-D-TS101-M3","","","","","","",""
"105","D","TS","101","M3","50-D-TS101-M3-HSCB","高速斷路器總成","總成","50-D-TS101-M3","","","","","","",""
"106","D","TS","101","M3","50-D-TS101-M3-PANTO","集電弓總成","總成","50-D-TS101-M3","","","","","","",""
"107","D","TS","101","M3","50-D-TS101-M3-PANTO-DRV","集電弓主軸驅動器","子件","50-D-TS101-M3-PANTO","","","","","","",""
"108","D","TS","101","M3","50-D-TS101-M3-PEI-L","旅客緊急對講機(PEI)-L","獨立件","50-D-TS101-M3","","","","","","",""
"109","D","TS","101","M3","50-D-TS101-M3-PEI-R","旅客緊急對講機(PEI)-R","獨立件","50-D-TS101-M3","","","","","","",""
"110","D","TS","101","M3","50-D-TS101-M3-TDR","行車監視紀錄器總成","總成","50-D-TS101-M3","","","","","","",""
"111","D","TS","101","M3","50-D-TS101-M3-TDR-CPU","診斷CPU","子件","50-D-TS101-M3-TDR","","","","","","",""
"112","D","TS","101","M4","50-D-TS101-M4-COOL","冷卻器總成","獨立件","50-D-TS101-M4","","","","","","",""
"113","D","TS","101","M4","50-D-TS101-M4-DCU-L","車門控制單元(DCU)-L","獨立件","50-D-TS101-M4","","","","","","",""
"114","D","TS","101","M4","50-D-TS101-M4-DCU-R","車門控制單元(DCU)-R","獨立件","50-D-TS101-M4","","","","","","",""
"115","D","TS","101","M4","50-D-TS101-M4-DMOT-L","驅動馬達-L","獨立件","50-D-TS101-M4","","","","","","",""
"116","D","TS","101","M4","50-D-TS101-M4-DMOT-R","驅動馬達-R","獨立件","50-D-TS101-M4","","","","","","",""
"117","D","TS","101","M4","50-D-TS101-M4-ESS","儲能電池(ESS)總成","獨立件","50-D-TS101-M4","","","","","","",""
"118","D","TS","101","M4","50-D-TS101-M4-ETH-SW","網管型乙太網路交換器(模組1/2/4/5)","獨立件","50-D-TS101-M4","","","","","","",""
"119","D","TS","101","M4","50-D-TS101-M4-PA-IP","IP擴音器","獨立件","50-D-TS101-M4","","","","","","",""
"120","D","TS","101","M4","50-D-TS101-M4-PAC/L2","客室空調總成-L2","總成","50-D-TS101-M4","","","","","","",""
"121","D","TS","101","M4","50-D-TS101-M4-PAC/L2-COMP","空調渦捲式壓縮機-L2","子件","50-D-TS101-M4-PAC/L2","","","","","","",""
"122","D","TS","101","M4","50-D-TS101-M4-PAC/L2-CTRL","空調控制器KN700-L2","子件","50-D-TS101-M4-PAC/L2","","","","","","",""
"123","D","TS","101","M4","50-D-TS101-M4-PAC/R1","客室空調總成-R1","總成","50-D-TS101-M4","","","","","","",""
"124","D","TS","101","M4","50-D-TS101-M4-PAC/R1-COMP","空調渦捲式壓縮機-R1","子件","50-D-TS101-M4-PAC/R1","","","","","","",""
"125","D","TS","101","M4","50-D-TS101-M4-PAC/R1-CTRL","空調控制器KN700-R1","子件","50-D-TS101-M4-PAC/R1","","","","","","",""
"126","D","TS","101","M4","50-D-TS101-M4-PEI-L","旅客緊急對講機(PEI)-L","獨立件","50-D-TS101-M4","","","","","","",""
"127","D","TS","101","M4","50-D-TS101-M4-PEI-R","旅客緊急對講機(PEI)-R","獨立件","50-D-TS101-M4","","","","","","",""
"128","D","TS","101","M5","50-D-TS101-M5-AHU","輔助液壓單元總成(AHU)","總成","50-D-TS101-M5","","","","","","",""
"129","D","TS","101","M5","50-D-TS101-M5-BCU","煞車控制單元(BCU)總成","總成","50-D-TS101-M5","","","","","","",""
"130","D","TS","101","M5","50-D-TS101-M5-BCU-AIO","BCU_(AIO)類比輸入/輸出板","子件","50-D-TS101-M5-BCU","","","","","","",""
"131","D","TS","101","M5","50-D-TS101-M5-BCU-CIB","BCU_(CIB)控制器網路界面板","子件","50-D-TS101-M5-BCU","","","","","","",""
"132","D","TS","101","M5","50-D-TS101-M5-BCU-CPU","BCU_(CPU)中央處理器板","子件","50-D-TS101-M5-BCU","","","","","","",""
"133","D","TS","101","M5","50-D-TS101-M5-BCU-DIO","BCU_(DIO)數位輸入/輸出板","子件","50-D-TS101-M5-BCU","","","","","","",""
"134","D","TS","101","M5","50-D-TS101-M5-BCU-PSB","BCU_(PSB)電源板","子件","50-D-TS101-M5-BCU","","","","","","",""
"135","D","TS","101","M5","50-D-TS101-M5-BCU-VCB","BCU_(VCB)閥控制板","子件","50-D-TS101-M5-BCU","","","","","","",""
"136","D","TS","101","M5","50-D-TS101-M5-BOGIE","轉向架","總成","50-D-TS101-M5","","","","","","",""
"137","D","TS","101","M5","50-D-TS101-M5-BOGIE-BCAL-AX5L","動力式煞車卡鉗總成-L5","子件","50-D-TS101-M5-BOGIE","","","","","","",""
"138","D","TS","101","M5","50-D-TS101-M5-BOGIE-BCAL-AX5R","動力式煞車卡鉗總成-R5","子件","50-D-TS101-M5-BOGIE","","","","","","",""
"139","D","TS","101","M5","50-D-TS101-M5-BOGIE-BCAL-AX6L","動力式煞車卡鉗總成-L6","子件","50-D-TS101-M5-BOGIE","","","","","","",""
"140","D","TS","101","M5","50-D-TS101-M5-BOGIE-BCAL-AX6R","動力式煞車卡鉗總成-R6","子件","50-D-TS101-M5-BOGIE","","","","","","",""
"141","D","TS","101","M5","50-D-TS101-M5-BOGIE-GB-AX5L","齒輪箱總成-L5","子件","50-D-TS101-M5-BOGIE","","","","","","",""
"142","D","TS","101","M5","50-D-TS101-M5-BOGIE-GB-AX5R","齒輪箱總成-R5","子件","50-D-TS101-M5-BOGIE","","","","","","",""
"143","D","TS","101","M5","50-D-TS101-M5-BOGIE-GB-AX6L","齒輪箱總成-L6","子件","50-D-TS101-M5-BOGIE","","","","","","",""
"144","D","TS","101","M5","50-D-TS101-M5-BOGIE-GB-AX6R","齒輪箱總成-R6","子件","50-D-TS101-M5-BOGIE","","","","","","",""
"145","D","TS","101","M5","50-D-TS101-M5-BOGIE-TM-AX5L","牽引馬達總成-L5(TM4)","子件","50-D-TS101-M5-BOGIE","","","","","","",""
"146","D","TS","101","M5","50-D-TS101-M5-BOGIE-TM-AX5R","牽引馬達總成-R5(TM2)","子件","50-D-TS101-M5-BOGIE","","","","","","",""
"147","D","TS","101","M5","50-D-TS101-M5-BOGIE-TM-AX6L","牽引馬達總成-L6(TM3)","子件","50-D-TS101-M5-BOGIE","","","","","","",""
"148","D","TS","101","M5","50-D-TS101-M5-BOGIE-TM-AX6R","牽引馬達總成-R6(TM1)","子件","50-D-TS101-M5-BOGIE","","","","","","",""
"149","D","TS","101","M5","50-D-TS101-M5-BOGIE-WHL-AX5L","動力式車輪-L5","子件","50-D-TS101-M5-BOGIE","","","","","","",""
"150","D","TS","101","M5","50-D-TS101-M5-BOGIE-WHL-AX5R","動力式車輪-R5","子件","50-D-TS101-M5-BOGIE","","","","","","",""
"151","D","TS","101","M5","50-D-TS101-M5-BOGIE-WHL-AX6L","動力式車輪-L6","子件","50-D-TS101-M5-BOGIE","","","","","","",""
"152","D","TS","101","M5","50-D-TS101-M5-BOGIE-WHL-AX6R","動力式車輪-R6","子件","50-D-TS101-M5-BOGIE","","","","","","",""
"153","D","TS","101","M5","50-D-TS101-M5-BPI","BPI界面轉換器","獨立件","50-D-TS101-M5","","","","","","",""
"154","D","TS","101","M5","50-D-TS101-M5-BRES","煞車電阻器(含箱體)","獨立件","50-D-TS101-M5-CC400","","","","","","",""
"155","D","TS","101","M5","50-D-TS101-M5-CABAC","駕駛室空調總成","總成","50-D-TS101-M5","","","","","","",""
"156","D","TS","101","M5","50-D-TS101-M5-CABAC-COMP","空調渦捲式壓縮機","子件","50-D-TS101-M5-CABAC","","","","","","",""
"157","D","TS","101","M5","50-D-TS101-M5-CABAC-CTRL","空調控制器KN700","子件","50-D-TS101-M5-CABAC","","","","","","",""
"158","D","TS","101","M5","50-D-TS101-M5-CABAC-INV","空調變頻器","子件","50-D-TS101-M5-CABAC","","","","","","",""
"159","D","TS","101","M5","50-D-TS101-M5-CC400","牽引換流器及輔助電源異常(CC400)","總成","50-D-TS101-M5","","","","","","",""
"160","D","TS","101","M5","50-D-TS101-M5-CC400-ACU","ACU卡板","子件","50-D-TS101-M5-CC400","","","","","","",""
"161","D","TS","101","M5","50-D-TS101-M5-CC400-AUX","輔助變流器模組(AUX)","子件","50-D-TS101-M5-CC400","","","","","","",""
"162","D","TS","101","M5","50-D-TS101-M5-CC400-AUX/Reactor","輔電電抗器","子件","50-D-TS101-M5-CC400","","","","","","",""
"163","D","TS","101","M5","50-D-TS101-M5-CC400-ESS/Reactor","儲能裝置電抗器","子件","50-D-TS101-M5-CC400","","","","","","",""
"164","D","TS","101","M5","50-D-TS101-M5-CC400-TCU","TCU卡板","子件","50-D-TS101-M5-CC400","","","","","","",""
"165","D","TS","101","M5","50-D-TS101-M5-CC400-TRAC/Reactor","牽引電抗器","子件","50-D-TS101-M5-CC400","","","","","","",""
"166","D","TS","101","M5","50-D-TS101-M5-CC400-XC","高頻整流器模組(XC)","子件","50-D-TS101-M5-CC400","","","","","","",""
"167","D","TS","101","M5","50-D-TS101-M5-DCU-L","車門控制單元(DCU)-L","獨立件","50-D-TS101-M5","","","","","","",""
"168","D","TS","101","M5","50-D-TS101-M5-DCU-R","車門控制單元(DCU)-R","獨立件","50-D-TS101-M5","","","","","","",""
"169","D","TS","101","M5","50-D-TS101-M5-DMOT-L","驅動馬達-L","獨立件","50-D-TS101-M5","","","","","","",""
"170","D","TS","101","M5","50-D-TS101-M5-DMOT-R","驅動馬達-R","獨立件","50-D-TS101-M5","","","","","","",""
"171","D","TS","101","M5","50-D-TS101-M5-EHU","煞車液壓單元總成(EHU)","總成","50-D-TS101-M5","","","","","","",""
"172","D","TS","101","M5","50-D-TS101-M5-ETH/CAB","網管型乙太網路交換器(駕駛室)","獨立件","50-D-TS101-M5","","","","","","",""
"173","D","TS","101","M5","50-D-TS101-M5-ETH/SW","網管型乙太網路交換器(模組1/2/4/5)","獨立件","50-D-TS101-M5","","","","","","",""
"174","D","TS","101","M5","50-D-TS101-M5-FLUB/COMP","輪緣潤滑壓縮機","獨立件","50-D-TS101-M5","","","","","","",""
"175","D","TS","101","M5","50-D-TS101-M5-GPS","GPS機","子件","50-D-TS101-M5","","","","","","",""
"176","D","TS","101","M5","50-D-TS101-M5-HMI","速度監控HMI","獨立件","50-D-TS101-M5","","","","","","",""
"177","D","TS","101","M5","50-D-TS101-M5-MC","主控制器總成","總成","50-D-TS101-M5","","","","","","",""
"178","D","TS","101","M5","50-D-TS101-M5-OBCU","車載控制單元(OBCU)","獨立件","50-D-TS101-M5","","","","","","",""
"179","D","TS","101","M5","50-D-TS101-M5-PEI-L","旅客緊急對講機(PEI)-L","獨立件","50-D-TS101-M5","","","","","","",""
"180","D","TS","101","M5","50-D-TS101-M5-PEI-R","旅客緊急對講機(PEI)-R","獨立件","50-D-TS101-M5","","","","","","",""
"181","D","TS","101","M5","50-D-TS101-M5-SD/COMP","撒砂裝置空壓機","獨立件","50-D-TS101-M5","","","","","","",""
"182","D","TS","101","M5","50-D-TS101-M5-TETRA","TETRA收發機(Tetra Transceiver)","獨立件","50-D-TS101-M5","","","","","","",""
"183","D","TS","101","M5","50-D-TS101-M5-VCU","車輛控制單元(VCU)","獨立件","50-D-TS101-M5","","","","","","",""
"184","D","TS","101","M5","50-D-TS101-M5-VID","影像連結單元(Video link)","獨立件","50-D-TS101-M5","","","","","","",""
"185","D","TS","101","M5","50-D-TS101-M5-WIFI","Wi-Fi模組","獨立件","50-D-TS101-M5","","","","","","",""
"186","D","TS","102","M1","50-D-TS102-M1-BCU","煞車控制單元(BCU)總成","總成","50-D-TS102-M1","","","","","","",""
"187","D","TS","102","M1","50-D-TS102-M1-BCU-AIO","BCU_(AIO)類比輸入/輸出板","子件","50-D-TS102-M1-BCU","","","","","","",""
"188","D","TS","102","M1","50-D-TS102-M1-BCU-CIB","BCU_(CIB)控制器網路界面板","子件","50-D-TS102-M1-BCU","","","","","","",""
"189","D","TS","102","M1","50-D-TS102-M1-BCU-CPU","BCU_(CPU)中央處理器板","子件","50-D-TS102-M1-BCU","","","","","","",""
"190","D","TS","102","M1","50-D-TS102-M1-BCU-DIO","BCU_(DIO)數位輸入/輸出板","子件","50-D-TS102-M1-BCU","","","","","","",""
"191","D","TS","102","M1","50-D-TS102-M1-BCU-PSB","BCU_(PSB)電源板","子件","50-D-TS102-M1-BCU","","","","","","",""
"192","D","TS","102","M1","50-D-TS102-M1-BCU-VCB","BCU_(VCB)閥控制板","子件","50-D-TS102-M1-BCU","","","","","","",""
"193","D","TS","102","M1","50-D-TS102-M1-BOGIE","轉向架","總成","50-D-TS102-M1","","","","","","",""
"194","D","TS","102","M1","50-D-TS102-M1-BOGIE-AHU","輔助液壓單元總成(AHU)","子件","50-D-TS102-M1-BOGIE","","","","","","",""
