"code","record_key","detail","classification","disposition","go_no_go_impact"
"MISSING_P1_WORD_TEMPLATE","P1","published P1 has no active published Word template","PRE_EXISTING","review before production","conditional"
"INVENTORY_MISMATCH","aggregate","719","PRE_EXISTING","review before production","conditional"
